rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
437,True,1,5,0,111235839.41803367,496.2,0
438,True,5,1,0,49149698.3613514,539.85,2
439,True,1,5,0,216221088.91847718,694.0,0
440,True,0,6,0,161280798.381995,688.2750000000001,0
441,True,2,4,0,89797153.343992,328.7,0
442,True,1,5,0,161900856.87027895,580.9599999999999,0
443,True,0,6,0,246423137.59461665,2178.6,0
444,True,0,6,0,526347550.0946009,1449.9,0
445,True,6,0,0,22318705.037760727,149.94,-1
446,True,1,5,0,291613433.5045301,561.5,0
447,True,2,4,0,176429160.8345708,979.51,0
448,True,1,5,0,85671834.39349006,996.4,0
449,True,1,5,0,166410636.70912993,376.82,0
450,True,0,6,0,287412771.67947894,661.3,0
451,True,1,5,0,17135721.726141468,150.4,7
452,True,5,1,0,45516316.982121445,269.0,0
453,True,1,5,0,101944073.72239667,563.05,0
454,True,6,0,0,60981908.3874349,144.18,-1
455,True,6,0,0,71271202.70413853,201.0,-1
456,True,6,0,0,21527665.16817518,184.1,-1
457,True,2,4,0,131145409.81325915,361.0,0
458,True,6,0,0,7406601.901193631,71.09,-1
459,True,6,0,0,10489326.713406652,109.0,-1
460,True,1,5,0,27838340.134433243,341.76,1
461,True,0,6,0,146726180.1115367,441.4,0
462,True,0,6,0,64266290.806411356,851.9,0
463,True,2,4,0,106783415.14406191,988.3,0
464,True,0,6,0,210372969.89540285,895.0,0
465,True,0,6,0,259868315.12830332,467.95,0
466,True,4,2,0,76279824.79876572,825.0,0
467,True,0,6,0,109155166.81752609,434.4,0
468,True,0,6,0,895808466.6703998,2580.425,0
469,True,0,6,0,98116935.9242759,341.3,0
470,True,0,6,0,137798269.31324625,516.4,0
471,True,0,6,0,215229350.79902685,898.75,0
472,True,0,6,0,63560217.23655867,757.2,0
473,True,0,6,0,142594393.1938867,772.4,0
474,True,3,3,0,94592113.45111167,715.4,0
475,True,0,6,0,145314668.14609116,2028.9,0
476,True,0,6,0,230844328.9629328,544.9,0
477,True,1,5,0,104655622.0107643,340.5,0
478,True,0,6,0,495357637.5875545,1084.1,0
479,True,2,4,0,58126603.14657122,572.25,0
480,True,0,6,0,26558853.303080916,89.4,0
481,True,4,2,0,64563151.88149838,254.615,0
482,True,0,6,0,870362818.9612632,1703.972,0
483,True,0,6,0,405575080.02697307,869.5,0
484,True,2,4,0,135535527.86005735,661.1,0
485,True,0,6,0,213712166.95239142,1024.7,0
486,True,0,6,0,149604063.82430688,425.1,0
487,True,0,6,0,29247102.178061333,341.0,0
488,True,6,0,0,49831575.14489079,565.0,-1
489,True,0,6,0,200514402.75866768,525.2,0
490,True,3,3,0,85778830.0238364,358.0,3
491,True,0,6,0,143793113.957421,375.26,0
492,True,0,6,0,112587406.33657753,1274.1,0
493,True,6,0,0,55522021.32282951,473.75,-1
494,True,2,4,0,205880054.47623205,786.8,0
495,True,2,4,0,71244353.64566112,167.2,0
496,True,3,3,0,26980828.5809458,274.65,7
497,True,6,0,0,25818198.04602591,150.0,-1
498,True,0,6,0,30513434.442052297,222.14000000000001,0
499,True,1,5,0,30631229.458546292,324.38,0
