rep,reallocation,n_completed,n_withdrawn,n_active_at_end,X_total,total_mw,first_wd_month
327,False,1,5,0,210093335.82971826,377.55,0
328,False,4,2,0,155193991.5424338,632.0,0
329,False,5,1,0,104990213.56635012,772.0,0
330,False,0,6,0,89621472.78238657,229.6,0
331,False,4,2,0,186634784.6597497,1500.0,0
332,False,5,1,0,260564571.17495427,1288.3999999999999,0
333,False,0,6,0,312413287.7319592,1430.0,0
334,False,4,2,0,74917739.9070329,833.13,0
335,False,1,5,0,331091843.76106703,647.9,0
336,False,0,6,0,663056833.331281,1325.3,0
337,False,2,4,0,49987081.65291364,323.6,0
338,False,5,1,0,109590565.27007544,985.0,0
339,False,6,0,0,86496251.50116305,362.0,-1
340,False,5,1,0,46101003.6904074,252.1,5
341,False,5,1,0,51536653.72440924,324.0,1
342,False,5,1,0,53780010.13445221,103.7,0
343,False,5,1,0,357026653.5237101,1493.7,0
344,False,5,1,0,53999162.76820698,364.2,0
345,False,5,1,0,58282170.88840624,487.65,0
346,False,5,1,0,39377346.601527065,90.9,4
347,False,1,5,0,434451257.4228225,1021.2836,0
348,False,3,3,0,160120482.82309112,510.7,0
349,False,0,6,0,103010034.20470122,246.0,0
350,False,5,1,0,84218841.22483525,529.44,3
351,False,3,3,0,219728905.36732134,997.43,0
352,False,5,1,0,216696550.70177627,982.0,0
353,False,4,2,0,141991459.19374356,380.8,0
354,False,3,3,0,154879591.6094065,1738.3,0
355,False,5,1,0,110131938.55559288,591.8,0
356,False,0,6,0,275313555.19255084,1490.0,0
357,False,3,3,0,188971782.69285843,413.6,0
358,False,5,1,0,65906499.367691584,437.0,0
359,False,0,6,0,58969651.822744146,166.0,0
360,False,5,1,0,66420158.64142615,248.22,2
361,False,6,0,0,58861698.57088693,314.9,-1
362,False,3,3,0,72356377.22558337,239.1,0
363,False,2,4,0,14218238.102538066,174.6,5
364,False,4,2,0,515250211.2720595,1060.3,0
365,False,2,4,0,140417856.1575876,398.0,0
366,False,4,2,0,150429323.8409257,428.4,0
367,False,6,0,0,27335793.729880318,274.75,-1
368,False,5,1,0,72590424.28931062,485.5,2
369,False,0,6,0,648713814.9386832,1217.0,0
370,False,1,5,0,115597282.07590254,299.1,0
371,False,1,5,0,131853675.50865377,414.0,0
372,False,5,1,0,105994840.15484294,970.6999999999999,0
373,False,0,6,0,253275434.3208981,1130.0,0
374,False,4,2,0,23596185.417502854,277.05,5
375,False,4,2,0,172060133.3213919,527.6,0
376,False,0,6,0,55110792.2435305,365.0,0
