pair_id,treated_poi,control_poi,event_quarter,treated_depth,control_depth,entity,dominant_type,n_wd_in_event
596,PJM||blue jacket kirby 138 kv,PJM||church wye mills 138 kv,2020Q3,2,2,PJM,Solar,1
597,ISO-NE||cmp sturtevant substation 115 kv,ISO-NE||115 kv coolidge substation,2016Q3,1,1,ISO-NE,Solar,1
598,PJM||newburgh 12 kv,PJM||blairstown kittatinny 345 kv,2010Q4,1,1,PJM,Solar,1
599,SOCO||hattiesburg southwest adams creek 230 kv line,SOCO||jasper east substation substation 230 kv bus,2024Q1,4,3,SOCO,Solar,1
600,ERCOT||60090 wkn breaker 69 kv,ERCOT||# 7044 marion 345 kv,2024Q2,1,1,ERCOT,Battery,1
601,CAISO||mira loma substation 230 kv,CAISO||los banos 230 kv,2021Q2,5,4,CAISO,Battery,1
602,PJM||lynnville south hamburg 69 kv,PJM||bishopville worcester 138 kv,2024Q4,1,1,PJM,Solar,1
603,PJM||lawrence 26 kv,PJM||branchville newton 345 kv,2012Q1,1,1,PJM,Solar,1
604,PJM||bear creek 69 kv,PJM||camp grove,2004Q1,1,1,PJM,Wind,1
605,SOCO||autaugaville substation 500 kv bus,SOCO||wansley 500 kv substation,2004Q2,1,1,SOCO,Gas,1
606,PJM||pontiac midpoint dresden,PJM||dixon 12 kv,2022Q1,1,1,PJM,Other,1
607,PJM||printz,PJM||bay shore 138 kv,2013Q3,1,1,PJM,Gas,1
