pair_id,role,entity_poi,depth,pre_wd_count,mean_mw,mean_q_year,dominant_type,n_types
138,treated,PJM||wye mills 25 kv,1,0,8.0,2016.0,Battery,1
138,control,PJM||balls gap 345 kv,1,0,2.0,2015.0,Battery,1
139,treated,ERCOT||79506 abernathy 345 kv,1,0,122.0,2013.0,Wind,1
139,control,ERCOT||11319 scosw scurrycounty 138 kv,1,0,308.82,2016.0,Wind,1
140,treated,CAISO||windhub substation 230 kv,2,0,449.0,2007.5,Solar+Battery,2
140,control,CAISO||midway temblor 115 kv line,2,0,20.0,,Solar+Battery,1
141,treated,PJM||watkins corner 345 kv,1,0,20.0,2021.0,Solar,1
141,control,PJM||ashfield 12 kv,1,0,1.5,2021.0,Solar,1
142,treated,PJM||adams 138 kv,4,0,57.45,2020.25,Solar,3
142,control,PJM||cashie earleys 230 kv,4,0,67.5,2020.0,Solar,2
143,treated,PJM||hillsboro wye mills 138 kv,1,0,11.9,2023.0,Solar,1
143,control,PJM||ashtabula county pv project 1,1,0,10.0,2022.0,Solar,1
144,treated,CAISO||eldorado baker cool water dunn siding mountain pass 115 kv line,3,0,202.66666666666666,2007.0,Solar,1
144,control,CAISO||camino iron mountain 230 kv line,2,0,49.5,2008.0,Solar,1
145,treated,CAISO||mustang switching station 230 kv,2,0,230.9075,2016.0,Solar+Battery,1
145,control,CAISO||colorado river substation 220 kv,2,0,317.5,2011.5,Solar+Battery,1
146,treated,PJM||hunterstown 500 kv,1,0,679.0,1999.0,Gas,1
146,control,PJM||basin 230 kv,1,0,22.0,2007.0,Gas,1
147,treated,CAISO||cameron substation 69 kv,1,0,20.0,2014.0,Solar,1
147,control,CAISO||arco twisselman 70 kv,1,0,15.0,2011.0,Solar,1
148,treated,CAISO||harquahala substation 500 kv,1,0,300.0,2011.0,Solar,1
148,control,CAISO||66 kv windhub substation,1,0,35.3,2011.0,Solar,1
149,treated,PJM||hillcrest 138 kv,1,0,125.0,2015.0,Solar,1
149,control,PJM||andover kittatinny 34 kv,1,0,10.0,2011.0,Solar,1
150,treated,CAISO||delaney substation 500 kv,2,0,1190.723,2020.0,Solar+Battery,1
150,control,CAISO||midway 115 kv,2,0,205.7,2018.5,Solar+Battery,1
151,treated,PJM||gladstone 138 kv,2,0,53.5,2021.5,Solar,1
151,control,PJM||argenta twin branch 345 kv,2,0,185.0,2022.0,Solar,1
152,treated,ERCOT||68008 latimer 345 kv,1,0,350.0,2018.0,Wind,1
152,control,ERCOT||1064 sun 138 kv,1,0,22.4,2020.0,Wind,1
153,treated,PJM||chesterfield 230 kv,4,0,349.5,2020.0,Battery,2
153,control,PJM||buckingham farmville 230 kv,4,0,45.85,2021.5,Battery,2
154,treated,PJM||birchwood nug 230 kv,2,0,101.15,2022.0,Battery,1
154,control,PJM||bridgeport 230 kv,2,0,109.5,2021.5,Battery,1
155,treated,PJM||pendleton tanners creek 138 kv,1,0,100.0,2022.0,Solar,1
155,control,PJM||ashtabula county pv project 2,1,0,10.0,2022.0,Solar,1
156,treated,ERCOT||79503 tule canyon 345 kv,2,0,200.0,2011.0,Wind,1
156,control,ERCOT||42400 refuge 345 kv,2,0,196.2,2016.5,Wind,1
157,treated,PJM||phillipsburg,1,0,4.8,2011.0,Solar,1
157,control,PJM||applegarth 125 kv,1,0,9.0,2010.0,Solar,1
158,treated,PSCo||midway substation 115 kv,1,0,100.0,2016.0,Solar,1
158,control,PSCo||alamosa substation,1,0,40.0,2009.0,Solar,1
159,treated,PJM||hickory 345 kv,1,0,20.0,2016.0,Solar,1
159,control,PJM||argonne new lisbon 345 kv,1,0,13.0,2014.0,Solar,1
160,treated,PJM||north temple 230 kv,1,0,560.0,2001.0,Gas,1
160,control,PJM||big sandy 138 kv,1,0,20.0,2007.0,Gas,1
161,treated,PJM||laurel 69 kv,1,0,85.0,2016.0,Solar,1
161,control,PJM||absecon 1247 kv,1,0,2.4,2019.0,Solar,1
162,treated,PJM||kincaid pana,1,0,200.0,2019.0,Battery,1
162,control,PJM||athenia 26 kv,1,0,20.0,2021.0,Battery,1
163,treated,PJM||avon north clark 345 kv,2,0,175.0,2019.0,Solar,1
163,control,PJM||bearrock johnstown 230 kv,2,0,75.0,2019.0,Solar,1
164,treated,SOCO||colerain thalmann 230 kv line,1,0,280.0,2018.0,Solar,1
164,control,SOCO||baxley jesup 115 kv line,1,0,85.0,2018.0,Solar,1
165,treated,PJM||branchville sussex 345 kv,1,0,10.0,2011.0,Solar,1
165,control,PJM||asbury,1,0,9.7,2011.0,Solar,1
166,treated,ERCOT||80219 lobo 345 kv,2,0,201.95,2019.0,Solar,1
166,control,ERCOT||11406 central bluff 345 kv,2,0,102.06,2017.5,Solar,2
167,treated,PJM||brunswick gasburg 69 kv,1,0,52.65,2022.0,Solar,1
167,control,PJM||atlanta 69 kv iii,1,0,49.9,2016.0,Solar,1
